品番	ISOコード	材料/結合形式	作業部形状	最大径	
Model	ISO Code	Material	"Working
Shape"		
EX-43	806-314-237-524-014	806	237	1.4	
EX-58	806-315-298-524-010	806	298	1	
EX-SS13	806-313-297-524-014	806	297	1.4	
EX-SS13EF	806-313-297-504-012	806	297	1.2	
EX-SS14	806-313-197-524-015	806	197	1.5	
EX-SS14EF	806-313-197-504-012	806	197	1.2	
EX-SS33	806-312-544-524-016	806	544	1.6	
EX-SS33EF	806-312-544-504-015	806	544	1.5	
RS-SS31	806-313-544-524-019	806	544	1.9	
RS-SS31EF	806-313-544-504-018	806	544	1.8	
EX-SS40	806-313-277-524-023	806	277	2.3	
FO-100C	806-314-257-534-024	806	257	2.4	
FO-100F	806-314-257-514-021	806	257	2.1	
FO-101C	806-315-257-534-013	806	257	1.3	
FO-11	806-316-299-524-014	806	299	1.4	
FO-11C	806-316-299-534-014	806	299	1.4	
FO-12	806-316-299-524-016	806	299	1.6	
FO-13	806-316-299-524-019	806	299	1.9	
FO-14	806-315-299-524-023	806	299	2.3	
FO-20EF	806-314-257-504-012	806	257	1.2	
FO-21	806-315-297-524-014	806	297	1.4	
FO-21C	806-315-297-534-015	806	297	1.5	
FO-21EF	806-315-297-504-011	806	297	1.1	
FO-21F	806-315-297-514-013	806	297	1.3	
FO-21SC	806-315-297-544-016	806	297	1.6	
FO-22	806-315-288-524-016	806	288	1.6	
FO-22C	806-315-288-534-017	806	288	1.7	
FO-22EF	806-315-288-504-013	806	288	1.3	
FO-22F	806-315-288-514-015	806	288	1.5	
FO-22SC	806-315-288-544-018	806	288	1.8	
FO-23	806-315-297-524-013	806	297	1.3	
FO-23EF	806-315-288-504-009	806	288	0.9	
FO-23F	806-315-288-514-011	806	288	1.1	
FO-24	806-315-298-524-013	806	298	1.3	
FO-24F	806-315-298-514-013	806	298	1.3	
FO-25	806-314-257-524-028	806	257	2.8	
FO-25C	806-314-257-534-029	806	257	2.9	
FO-25EF	806-314-257-504-025	806	257	2.5	
FO-27	806-314-257-524-032	806	257	3.2	
FO-27C	806-314-257-534-033	806	257	3.3	
FO-27SC	806-314-257-544-034	806	257	3.4	
FO-30EF	806-314-257-504-014	806	257	1.4	
FO-30F	806-314-257-514-015	806	257	1.5	
FO-31	806-314-257-524-013	806	257	1.3	
FO-32	806-314-257-524-018	806	257	1.8	
FO-32C	806-314-257-534-019	806	257	1.9	
FO-32EF	806-314-257-504-016	806	257	1.6	
FO-32SC	806-314-257-544-020	806	257	2	
FO-33	806-315-257-524-023	806	257	2.3	
FO-33F	806-315-257-514-022	806	257	2.2	
FO-33EF	806-315-257-504-020	806	257	2	
FO-40EF	806-316-540-504-009	806	540	0.9	
FO-41EF	806-314-297-504-009	806	297	0.9	
FO-42EF	806-315-289-504-010	806	289	1	
FO-54C	806-315-508-534-019	806	508	1.9	
FO-S21	806-314-297-524-014	806	297	1.4	
FO-S21C	806-314-257-534-015	806	257	1.5	
FO-S54	806-315-508-524-019	806	508	1.9	
FO-SS21F	806-314-298-514-013	806	298	1.3	
IPR-01EF	806-315-164-504-004	806	164	0.4	
MI-45F	806-314-001-514-010	806	1	1	
MI-53F	806-314-539-514-007	806	539	0.7	
MI-61F	806-314-139-514-007	806	139	0.7	
MI-62F	806-314-156-514-009	806	156	0.9	
MI-S45	806-314-001-524-008	806	1	0.8	
Pro-1	806-315-198-524-021	806	198	2.1	
Pro-1EF	806-315-198-504-021	806	198	2.1	
Pro-1f	806-315-198-514-020	806	198	2	
Pro-2	806-315-198-524-018	806	198	1.8	
Pro-2EF	806-315-198-504-018	806	198	1.8	
Pro-2f	806-316-198-514-017	806	198	1.7	
Pro-3f	806-315-277-514-022	806	277	2.2	
Pro-4f	806-314-237-514-019	806	237	1.9	
Pro-5f	806-314-041-514-039	806	41	3.9	
Pro-S3	806-314-277-524-024	806	277	2.4	
RS-11C	806-316-553-534-020	806	553	2	
RS-21C	806-315-545-534-019	806	545	1.9	
RS-31C	806-314-544-534-019	806	544	1.9	
RS-32	806-314-544-524-016	806	544	1.6	
RS-32F	806-314-544-514-014	806	544	1.4	
RS-45	806-314-544-524-018	806	544	1.8	
RS-45EF	806-314-544-504-017	806	544	1.7	
RS-45F	806-314-544-514-017	806	544	1.7	
SF-11	806-315-111-524-012	806	111	1.2	
SF-11C	806-315-111-534-013	806	111	1.3	
SF-11SC	806-315-111-544-014	806	111	1.4	
SF-12	806-315-111-524-014	806	111	1.4	
SF-12C	806-315-111-534-015	806	111	1.5	
SF-12SC	806-315-111-544-016	806	111	1.6	
SF-13	806-315-111-524-016	806	111	1.6	
SF-13C	806-315-111-534-017	806	111	1.7	
SF-13SC	806-315-111-544-018	806	111	1.8	
SF-21	806-315-110-524-014	806	110	1.4	
SF-21C	806-315-110-534-015	806	110	1.5	
SF-21SC	806-315-110-544-016	806	110	1.6	
SF-22	806-315-110-524-013	806	110	1.3	
SF-24C	806-315-110-534-012	806	110	1.2	
SF-31	806-314-109-524-013	806	109	1.3	
SF-31C	806-314-109-534-014	806	109	1.4	
SF-31SC	806-314-109-544-015	806	109	1.5	
SF-32	806-314-109-524-013	806	109	1.3	
SF-40	806-315-109-524-010	806	109	1	
SF-41	806-314-109-524-011	806	109	1.1	
SF-41C	806-314-109-534-011	806	109	1.1	
SF-41SC	806-314-109-544-013	806	109	1.3	
SF-42	806-314-109-524-013	806	109	1.3	
SF-43	806-314-109-524-015	806	109	1.5	
SF-79	806-314-109-524-014	806	109	1.4	
SF-79C	806-314-109-534-015	806	109	1.5	
SF-80	806-314-109-524-012	806	109	1.2	
SF-80C	806-314-109-534-013	806	109	1.3	
SF-81	806-314-109-524-008	806	109	0.8	
SF-S40	806-313-109-524-010	806	109	1	
SF-S41	806-313-109-524-011	806	109	1.1	
SI-045	806-314-010-524-011	806	10	1.1	
SI-31	806-314-010-524-019	806	10	1.9	
SI-33	806-314-010-524-015	806	10	1.5	
SI-34	806-314-010-524-013	806	10	1.3	
SI-37	806-314-010-524-017	806	10	1.7	
SI-41	806-315-010-524-019	806	10	1.9	
SI-42	806-315-010-524-017	806	10	1.7	
SI-43	806-315-010-524-015	806	10	1.5	
SI-44	806-315-010-524-013	806	10	1.3	
SI-45	806-315-010-524-010	806	10	1	
SI-46	806-314-010-524-013	806	10	1.3	
SI-46C	806-314-010-534-014	806	10	1.4	
SI-46SC	806-314-010-544-015	806	10	1.5	
SI-47	806-314-010-524-015	806	10	1.5	
SI-47C	806-314-010-534-015	806	10	1.5	
SI-47SC	806-314-010-544-017	806	10	1.7	
SI-48	806-314-010-524-017	806	10	1.7	
SI-48C	806-314-010-534-017	806	10	1.7	
SI-48SC	806-314-010-544-019	806	10	1.9	
SI-61	806-314-012-524-010	806	12	1	
SI-S46	806-313-010-524-013	806	10	1.3	
SI-S48	806-313-010-524-017	806	10	1.7	
SO-11	806-315-130-524-012	806	130	1.2	
SO-12	806-316-290-524-015	806	290	1.5	
SO-13	806-316-131-524-016	806	131	1.6	
SO-14	806-316-131-524-018	806	131	1.8	
SO-20	806-315-297-524-012	806	297	1.2	
SO-20C	806-315-297-534-013	806	297	1.3	
SO-21	806-315-298-524-014	806	298	1.4	
SO-21C	806-315-298-534-015	806	298	1.5	
SO-21SC	806-315-298-544-016	806	298	1.6	
SO-22C	806-315-288-534-010	806	288	1	
SO-23	806-315-289-524-017	806	289	1.7	
SO-23C	806-315-289-534-012	806	289	1.2	
SO-67	806-316-291-524-014	806	291	1.4	
SO-S20	806-314-297-524-012	806	297	1.2	
SO-S20C	806-314-297-534-013	806	297	1.3	
SO-SS20	806-313-297-524-012	806	297	1.2	
SR-11	806-315-141-524-012	806	141	1.2	
SR-11C	806-315-141-534-013	806	141	1.3	
SR-11SC	806-315-141-544-014	806	141	1.4	
SR-12	806-315-141-524-014	806	141	1.4	
SR-12C	806-315-141-534-015	806	141	1.5	
SR-12SC	806-315-141-544-016	806	141	1.6	
SR-13	806-315-141-524-016	806	141	1.6	
SR-13C	806-315-141-534-017	806	141	1.7	
SR-13SC	806-315-141-544-018	806	141	1.8	
SR-54	806-314-139-524-012	806	139	1.2	
SR-55	806-314-139-524-013	806	139	1.3	
SR-56	806-315-140-524-013	806	140	1.3	
SR-57	806-314-139-524-009	806	139	0.9	
TC-11	806-315-166-524-016	806	166	1.6	
TC-11C	806-315-166-534-017	806	166	1.7	
TC-11EF	806-315-166-504-013	806	166	1.3	
TC-11F	806-315-166-514-015	806	166	1.5	
TC-11SC	806-315-166-544-018	806	166	1.8	
TC-12	806-316-167-524-011	806	167	1.1	
TC-13	806-316-167-524-014	806	167	1.4	
